板块代码,板块名称,主力净流入,f66,f69,f72,f75,日期
BK0538,化学制品,1240634880.0,783875072.0,1.65,456759808.0,0.96,2025-11-29
BK1029,汽车整车,1232837904.0,900730400.0,5.93,332107504.0,2.18,2025-11-29
BK1038,光学光电子,1036645888.0,1489851392.0,4.46,-453205504.0,-1.36,2025-11-29
BK0481,汽车零部件,1030848864.0,1108051296.0,2.54,-77202432.0,-0.18,2025-11-29
BK1015,能源金属,1018489600.0,346624768.0,1.39,671864832.0,2.69,2025-11-29
BK0459,电子元件,936342784.0,1019467520.0,1.42,-83124736.0,-0.12,2025-11-29
BK1037,消费电子,803089152.0,980202240.0,1.56,-177113088.0,-0.28,2025-11-29
BK1027,小金属,785307744.0,689691232.0,3.48,95616512.0,0.48,2025-11-29
BK0457,电网设备,781147776.0,554613120.0,1.75,226534656.0,0.72,2025-11-29
BK1033,电池,732561152.0,277729024.0,0.52,454832128.0,0.86,2025-11-29
BK0478,有色金属,690215680.0,490058752.0,1.5,200156928.0,0.61,2025-11-29
BK0732,贵金属,636141968.0,229282592.0,2.64,406859376.0,4.68,2025-11-29
BK0486,文化传媒,589353728.0,282280448.0,0.68,307073280.0,0.74,2025-11-29
BK0482,商业百货,567209840.0,386700480.0,2.23,180509360.0,1.04,2025-11-29
BK1031,光伏设备,514068480.0,332274432.0,0.88,181794048.0,0.48,2025-11-29
BK0424,水泥建材,451946816.0,518068720.0,10.75,-66121904.0,-1.37,2025-11-29
BK0731,化肥行业,450822480.0,285671280.0,2.48,165151200.0,1.43,2025-11-29
BK1036,半导体,386454016.0,967794432.0,0.78,-581340416.0,-0.47,2025-11-29
BK0479,钢铁行业,335800512.0,353618720.0,3.33,-17818208.0,-0.17,2025-11-29
BK0450,航运港口,332887008.0,274148784.0,3.8,58738224.0,0.82,2025-11-29
BK0448,通信设备,297051136.0,1678307072.0,1.61,-1381255936.0,-1.32,2025-11-29
BK1017,采掘行业,272384080.0,162934240.0,3.49,109449840.0,2.34,2025-11-29
BK1045,房地产服务,263452512.0,123924432.0,3.48,139528080.0,3.91,2025-11-29
BK0545,通用设备,247819472.0,594099664.0,1.63,-346280192.0,-0.95,2025-11-29
BK0726,工程咨询服务,239251136.0,182386160.0,2.97,56864976.0,0.93,2025-11-29
BK0438,食品饮料,226222176.0,274553248.0,1.52,-48331072.0,-0.27,2025-11-29
BK0736,通信服务,215644352.0,107415808.0,1.03,108228544.0,1.04,2025-11-29
BK0425,工程建设,181239104.0,475687552.0,3.14,-294448448.0,-1.95,2025-11-29
BK0484,贸易行业,172377312.0,101936016.0,1.71,70441296.0,1.18,2025-11-29
BK0729,船舶制造,164902512.0,137676496.0,1.27,27226016.0,0.25,2025-11-29
BK0476,装修建材,161651648.0,174378640.0,1.99,-12726992.0,-0.14,2025-11-29
BK0474,保险,148425792.0,36067488.0,0.72,112358304.0,2.23,2025-11-29
BK0458,仪器仪表,145136624.0,224259424.0,2.89,-79122800.0,-1.02,2025-11-29
BK1016,汽车服务,139159872.0,146478128.0,10.56,-7318256.0,-0.53,2025-11-29
BK0733,包装材料,130579670.0,168242678.0,4.93,-37663008.0,-1.1,2025-11-29
BK0725,装修装饰,121253872.0,47184720.0,0.93,74069152.0,1.45,2025-11-29
BK1028,燃气,115575392.0,-30909696.0,-0.52,146485088.0,2.49,2025-11-29
BK0421,铁路公路,112948976.0,46268880.0,1.27,66680096.0,1.83,2025-11-29
BK1032,风电设备,108212896.0,70405488.0,0.98,37807408.0,0.53,2025-11-29
BK0740,教育,83649824.0,111639584.0,2.51,-27989760.0,-0.63,2025-11-29
BK0471,化纤行业,71831213.0,57684397.0,1.47,14146816.0,0.36,2025-11-29
BK0433,农牧饲渔,51693696.0,132928896.0,0.62,-81235200.0,-0.38,2025-11-29
BK1020,非金属材料,48055424.0,-107047440.0,-1.02,155102864.0,1.47,2025-11-29
BK0546,玻璃玻纤,46007152.0,61015136.0,1.14,-15007984.0,-0.28,2025-11-29
BK0456,家电行业,40645840.0,-79585072.0,-0.4,120230912.0,0.6,2025-11-29
BK0454,塑料制品,30593088.0,197010752.0,1.36,-166417664.0,-1.15,2025-11-29
BK1043,专业服务,20147305.0,10439177.0,0.24,9708128.0,0.22,2025-11-29
BK0429,交运设备,19457168.0,14063424.0,0.28,5393744.0,0.11,2025-11-29
BK0477,酿酒行业,2581264.0,43119712.0,0.49,-40538448.0,-0.46,2025-11-29
BK0734,珠宝首饰,-6883651.0,6272349.0,0.33,-13156000.0,-0.7,2025-11-29
BK0420,航空机场,-20214000.0,-31453344.0,-0.85,11239344.0,0.3,2025-11-29
BK0539,综合行业,-20303808.0,-115688736.0,-2.34,95384928.0,1.93,2025-11-29
BK1019,化学原料,-33814976.0,8196496.0,0.05,-42011472.0,-0.25,2025-11-29
BK0737,软件开发,-34868736.0,201794560.0,0.37,-236663296.0,-0.43,2025-11-29
BK0428,电力行业,-35131408.0,187378000.0,1.08,-222509408.0,-1.28,2025-11-29
BK0480,航天航空,-36901168.0,17098016.0,0.1,-53999184.0,-0.33,2025-11-29
BK0427,公用事业,-46903763.0,-54008211.0,-2.19,7104448.0,0.29,2025-11-29
BK1018,橡胶制品,-62429552.0,-6603248.0,-0.11,-55826304.0,-0.94,2025-11-29
BK1035,美容护理,-89025930.0,-38848394.0,-1.03,-50177536.0,-1.32,2025-11-29
BK0437,煤炭行业,-95173696.0,-28987536.0,-0.42,-66186160.0,-0.97,2025-11-29
BK0440,家用轻工,-101302217.0,-37107865.0,-0.89,-64194352.0,-1.55,2025-11-29
BK0739,工程机械,-118719184.0,112754992.0,1.27,-231474176.0,-2.61,2025-11-29
BK0738,多元金融,-123529669.0,-59062581.0,-2.0,-64467088.0,-2.18,2025-11-29
BK1030,电机,-139039440.0,-80828464.0,-0.93,-58210976.0,-0.67,2025-11-29
BK0728,环保行业,-148066032.0,-8315552.0,-0.06,-139750480.0,-1.05,2025-11-29
BK1041,医疗器械,-158602864.0,-81522640.0,-0.69,-77080224.0,-0.66,2025-11-29
BK1039,电子化学品,-173000336.0,-101326448.0,-1.04,-71673888.0,-0.74,2025-11-29
BK0730,农药兽药,-176547520.0,-94110656.0,-2.01,-82436864.0,-1.76,2025-11-29
BK0485,旅游酒店,-191344912.0,-54028352.0,-0.66,-137316560.0,-1.67,2025-11-29
BK0910,专用设备,-191769600.0,80288256.0,0.16,-272057856.0,-0.55,2025-11-29
BK1034,电源设备,-206696496.0,-307981584.0,-2.53,101285088.0,0.83,2025-11-29
BK0464,石油行业,-210985744.0,-118961696.0,-2.59,-92024048.0,-2.0,2025-11-29
BK1042,医药商业,-221753760.0,28225424.0,0.33,-249979184.0,-2.96,2025-11-29
BK0727,医疗服务,-222499024.0,-207210976.0,-2.42,-15288048.0,-0.18,2025-11-29
BK0470,造纸印刷,-256052224.0,-225604800.0,-2.85,-30447424.0,-0.38,2025-11-29
BK0422,物流行业,-260009904.0,-159092384.0,-2.54,-100917520.0,-1.61,2025-11-29
BK0436,纺织服装,-343717088.0,-159145872.0,-1.15,-184571216.0,-1.33,2025-11-29
BK1046,游戏,-367283232.0,-240453216.0,-2.12,-126830016.0,-1.12,2025-11-29
BK0473,证券,-431792592.0,-420548752.0,-2.85,-11243840.0,-0.08,2025-11-29
BK1044,生物制品,-517892384.0,-280670320.0,-2.67,-237222064.0,-2.26,2025-11-29
BK0465,化学制药,-605282512.0,-533530064.0,-1.9,-71752448.0,-0.26,2025-11-29
BK0735,计算机设备,-658181040.0,-530307760.0,-2.8,-127873280.0,-0.68,2025-11-29
BK0451,房地产开发,-790321040.0,-990824592.0,-4.11,200503552.0,0.83,2025-11-29
BK0475,银行,-933771504.0,-1166959344.0,-4.62,233187840.0,0.92,2025-11-29
BK1040,中药,-962790368.0,-703132192.0,-5.18,-259658176.0,-1.91,2025-11-29
BK0447,互联网服务,-1337828864.0,-689643008.0,-0.97,-648185856.0,-0.91,2025-11-29
