板块代码,板块名称,主力净流入,日期
BK0475,银行,1114050816.0,2025-12-29
BK0464,石油行业,888459696.0,2025-12-29
BK0738,多元金融,877163168.0,2025-12-29
BK0471,化纤行业,650963456.0,2025-12-29
BK1032,风电设备,607963584.0,2025-12-29
BK0737,软件开发,498991360.0,2025-12-29
BK0726,工程咨询服务,379549008.0,2025-12-29
BK0739,工程机械,219076944.0,2025-12-29
BK0459,电子元件,195192064.0,2025-12-29
BK0424,水泥建材,99459392.0,2025-12-29
BK1028,燃气,52707680.0,2025-12-29
BK1017,采掘行业,35572896.0,2025-12-29
BK0729,船舶制造,22094384.0,2025-12-29
BK0454,塑料制品,-40669168.0,2025-12-29
BK0734,珠宝首饰,-40754870.0,2025-12-29
BK1045,房地产服务,-42278164.0,2025-12-29
BK0437,煤炭行业,-59816096.0,2025-12-29
BK1016,汽车服务,-118370701.0,2025-12-29
BK0740,教育,-130716541.0,2025-12-29
BK0429,交运设备,-141740912.0,2025-12-29
BK0427,公用事业,-148351356.0,2025-12-29
BK0539,综合行业,-164682928.0,2025-12-29
BK0470,造纸印刷,-174036784.0,2025-12-29
BK0725,装修装饰,-190764960.0,2025-12-29
BK1035,美容护理,-193124528.0,2025-12-29
BK0458,仪器仪表,-204038624.0,2025-12-29
BK0733,包装材料,-211545120.0,2025-12-29
BK0440,家用轻工,-240477936.0,2025-12-29
BK0476,装修建材,-252569264.0,2025-12-29
BK1030,电机,-263148768.0,2025-12-29
BK0730,农药兽药,-264707264.0,2025-12-29
BK0450,航运港口,-265012544.0,2025-12-29
BK0421,铁路公路,-291510432.0,2025-12-29
BK0433,农牧饲渔,-336907168.0,2025-12-29
BK0420,航空机场,-344290080.0,2025-12-29
BK0436,纺织服装,-350511376.0,2025-12-29
BK1043,专业服务,-352969920.0,2025-12-29
BK0727,医疗服务,-354672320.0,2025-12-29
BK0451,房地产开发,-357419824.0,2025-12-29
BK0480,航天航空,-362176000.0,2025-12-29
BK1018,橡胶制品,-370656400.0,2025-12-29
BK1041,医疗器械,-390888784.0,2025-12-29
BK0484,贸易行业,-410586272.0,2025-12-29
BK1019,化学原料,-418882656.0,2025-12-29
BK0732,贵金属,-442043504.0,2025-12-29
BK0731,化肥行业,-493975440.0,2025-12-29
BK0456,家电行业,-588370720.0,2025-12-29
BK0425,工程建设,-612869408.0,2025-12-29
BK1046,游戏,-676329104.0,2025-12-29
BK1029,汽车整车,-691716304.0,2025-12-29
BK1040,中药,-696892352.0,2025-12-29
BK0474,保险,-748547008.0,2025-12-29
BK0422,物流行业,-753602816.0,2025-12-29
BK0485,旅游酒店,-766943408.0,2025-12-29
BK0479,钢铁行业,-778153664.0,2025-12-29
BK1042,医药商业,-778772512.0,2025-12-29
BK1034,电源设备,-832283568.0,2025-12-29
BK1044,生物制品,-877527712.0,2025-12-29
BK0735,计算机设备,-948858688.0,2025-12-29
BK1038,光学光电子,-1002785536.0,2025-12-29
BK0486,文化传媒,-1017744864.0,2025-12-29
BK0481,汽车零部件,-1056369920.0,2025-12-29
BK1020,非金属材料,-1089210784.0,2025-12-29
BK0438,食品饮料,-1250395968.0,2025-12-29
BK0477,酿酒行业,-1368033888.0,2025-12-29
BK1039,电子化学品,-1429011120.0,2025-12-29
BK1037,消费电子,-1548781312.0,2025-12-29
BK0545,通用设备,-1556423936.0,2025-12-29
BK0728,环保行业,-1683531552.0,2025-12-29
BK0546,玻璃玻纤,-1734537104.0,2025-12-29
BK1031,光伏设备,-1738960640.0,2025-12-29
BK0482,商业百货,-1767427200.0,2025-12-29
BK0736,通信服务,-1875590880.0,2025-12-29
BK0428,电力行业,-2092262768.0,2025-12-29
BK0473,证券,-2166390400.0,2025-12-29
BK0447,互联网服务,-2168210176.0,2025-12-29
BK0910,专用设备,-2201693952.0,2025-12-29
BK0465,化学制药,-2254983376.0,2025-12-29
BK0457,电网设备,-2453316736.0,2025-12-29
BK0478,有色金属,-2650486272.0,2025-12-29
BK1015,能源金属,-2813202496.0,2025-12-29
BK1027,小金属,-3293338368.0,2025-12-29
BK0538,化学制品,-3592924160.0,2025-12-29
BK1036,半导体,-4054430464.0,2025-12-29
BK0448,通信设备,-4957644544.0,2025-12-29
BK1033,电池,-5191249152.0,2025-12-29
